maTin,giaCa,dienTich,ngayDangTin,ngayHetHan,soTang,phapLy,soPhongNgu,soPhongTam,latitude,longitude,Chỗ để xe máy,Chỗ để ôtô,Trung tâm thể dục,Hệ thống an ninh,Nhân viên bảo vệ,Hồ bơi,Truyền hình cáp,Internet,Gần trường,Gần bệnh viện,Gần công viên,Gần nhà trẻ,Tiện kinh doanh,Khu dân trí cao,Gần chợ,Bàn ăn,Bàn trà,Sofa phòng khách,Kệ ti vi,Giường ngủ,Tủ quần áo,Sàn gỗ/đá,Trần thả,Tủ bếp,Bình nóng lạnh,Điều hòa,Bồn rửa mặt,Bồn tắm,Biệt thự liền kề,Biệt thự nghỉ dưỡng,Bất động sản khác,Căn hộ Cao cấp,Căn hộ Officetel,Căn hộ Penthouse,Căn hộ Tập thể,Căn hộ chung cư,Căn hộ mini,Căn hộ rẻ,Căn hộ trung cấp,Cửa hàng kiot,Khách sạn,Mặt bằng bán lẻ,Nhà biệt thự,Nhà mặt phố,Nhà phố Shophouse,Nhà riêng,Nhà rẻ,"Nhà trọ, phòng trọ",Văn phòng,ngayDangTin_ts,phongTam/dientich,phongngu/dientich,Overall_S
511179,10.5,110.0,2020-09-04,2020-10-19,5.0,0,1.0,3.0,20.9882414,105.7988469,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,737672.0,0.02727272727272727,0.00909090909090909,550.0
511178,4.256,133.0,2020-09-04,2020-10-19,1.0,0,3.0,3.0,21.03152,105.7600437,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,737672.0,0.022556390977443608,0.022556390977443608,133.0
511176,6.5,55.0,2020-09-04,2020-10-19,5.0,1,6.0,3.0,20.9988373,105.8257652,True,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,737672.0,0.05454545454545454,0.10909090909090909,275.0
511174,3.85,45.0,2020-09-04,2020-10-19,5.0,1,3.0,4.0,21.0153717,105.8128851,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,737672.0,0.08888888888888889,0.06666666666666667,225.0
511172,5.4,65.0,2020-09-04,2020-10-19,5.0,0,4.0,3.0,21.0108448,105.822425,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,737672.0,0.046153846153846156,0.06153846153846154,325.0
511164,5.8,30.0,2020-09-04,2020-10-19,4.0,0,3.0,1.0,21.005603,105.8434525,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,737672.0,0.03333333333333333,0.1,120.0
511157,2.4,120.0,2020-09-04,2020-10-19,1.0,0,4.0,3.0,20.955835,105.7563658,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,737672.0,0.025,0.03333333333333333,120.0
511151,2.37,32.0,2020-09-04,2020-10-19,4.0,1,3.0,3.0,20.9686922,105.7611004,True,False,False,True,False,False,False,False,True,False,False,True,False,True,True,False,False,False,False,False,False,False,False,True,False,False,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,737672.0,0.09375,0.09375,128.0
511150,15.0,80.0,2020-09-04,2020-10-19,6.0,1,6.0,3.0,21.0425621,105.7736536,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,737672.0,0.0375,0.075,480.0
511149,7.68,64.0,2020-09-04,2020-10-19,4.0,0,4.0,4.0,21.0294745,105.8003268,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,737672.0,0.0625,0.0625,256.0
